,age,occupation,marriage status,education level,balance,housing,loan,have termed deposit,credit_scores,credit_conditions
6617,25,technician,single,tertiary,43,yes,yes,no,-4692,below zero
6618,35,services,single,secondary,1227,yes,yes,no,-3508,below zero
6619,29,management,married,tertiary,16232,no,no,no,16232,above mean
6620,37,technician,divorced,secondary,-230,yes,yes,no,-4965,below zero
6621,26,entrepreneur,single,secondary,265,yes,no,no,1355,above mean
6622,45,management,divorced,tertiary,-255,yes,yes,no,-4990,below zero
6623,28,admin.,married,secondary,9779,yes,yes,no,5044,above mean
6624,38,services,divorced,secondary,-345,yes,no,no,745,below mean
6625,57,services,divorced,secondary,-752,yes,no,no,338,below mean
6626,26,management,single,tertiary,6840,yes,no,yes,7930,above mean
6627,34,student,single,primary,3004,no,no,no,3004,above mean
6628,44,retired,divorced,primary,2083,yes,no,no,3173,above mean
6629,29,management,married,tertiary,2451,yes,no,no,3541,above mean
6630,44,blue-collar,married,secondary,577,yes,no,no,1667,above mean
6631,26,technician,single,secondary,668,yes,no,yes,1758,above mean
6632,36,blue-collar,single,primary,851,yes,no,no,1941,above mean
6633,30,management,single,tertiary,849,yes,no,no,1939,above mean
6634,29,technician,married,tertiary,1489,yes,no,no,2579,above mean
6635,30,services,married,unknown,280,yes,yes,no,-4455,below zero
6636,29,management,single,tertiary,0,yes,no,no,1090,above mean
6637,59,management,divorced,secondary,0,yes,no,no,1090,above mean
6638,31,technician,single,secondary,55,no,no,no,55,below mean
6639,26,blue-collar,single,secondary,535,yes,yes,no,-4200,below zero
6640,30,technician,single,tertiary,-241,yes,no,no,849,below mean
6641,37,technician,married,secondary,-254,yes,yes,no,-4989,below zero
6642,42,technician,married,secondary,-184,yes,yes,no,-4919,below zero
6643,30,technician,single,secondary,1692,yes,yes,no,-3043,below zero
6644,32,technician,married,tertiary,-196,yes,no,no,894,below mean
6645,46,technician,married,secondary,317,yes,yes,no,-4418,below zero
6646,28,blue-collar,single,secondary,802,yes,no,no,1892,above mean
6647,26,blue-collar,married,primary,755,yes,no,no,1845,above mean
6648,29,housemaid,married,tertiary,420,yes,no,no,1510,above mean
6649,29,services,married,secondary,1386,yes,no,no,2476,above mean
6650,37,entrepreneur,married,secondary,-170,yes,no,no,920,below mean
6651,31,blue-collar,married,primary,-454,yes,yes,no,-5189,below zero
6652,31,admin.,single,secondary,162,yes,no,no,1252,above mean
6653,27,management,single,secondary,442,yes,no,no,1532,above mean
6654,28,management,single,tertiary,1996,yes,yes,no,-2739,below zero
6655,41,management,married,primary,-679,yes,yes,no,-5414,below zero
6656,45,services,married,secondary,-839,yes,no,no,251,below mean
6657,24,blue-collar,single,secondary,8594,yes,no,no,9684,above mean
6658,28,services,single,secondary,2921,yes,no,no,4011,above mean
6659,30,services,married,secondary,419,yes,no,no,1509,above mean
6660,26,services,married,secondary,311,yes,no,no,1401,above mean
6661,23,blue-collar,single,secondary,214,yes,no,no,1304,above mean
6662,25,admin.,single,secondary,4590,yes,no,no,5680,above mean
6663,28,services,married,secondary,1214,no,no,no,1214,above mean
6664,31,technician,married,secondary,-463,yes,no,no,627,below mean
6665,31,services,single,secondary,605,yes,no,no,1695,above mean
6666,33,admin.,divorced,secondary,-403,yes,no,no,687,below mean
6667,27,admin.,single,secondary,110,yes,no,no,1200,above mean
6668,37,technician,single,secondary,779,yes,no,no,1869,above mean
6669,49,blue-collar,married,secondary,579,yes,no,no,1669,above mean
6670,30,technician,single,tertiary,0,yes,no,no,1090,above mean
6671,24,blue-collar,married,secondary,0,no,no,no,0,below mean
6672,39,blue-collar,divorced,secondary,412,no,no,no,412,below mean
6673,36,self-employed,married,tertiary,15,yes,no,no,1105,above mean
6674,24,services,single,secondary,1611,yes,no,no,2701,above mean
6675,29,blue-collar,single,secondary,-15,yes,no,no,1075,above mean
6676,53,technician,divorced,secondary,45,no,no,no,45,below mean
6677,46,admin.,single,secondary,-136,yes,no,no,954,below mean
6678,28,blue-collar,single,secondary,1849,yes,no,no,2939,above mean
6679,35,services,married,secondary,1453,yes,no,no,2543,above mean
6680,29,admin.,single,secondary,1450,yes,no,no,2540,above mean
6681,33,technician,married,tertiary,525,yes,yes,no,-4210,below zero
6682,32,services,single,secondary,284,yes,no,no,1374,above mean
6683,27,services,single,secondary,54,yes,no,yes,1144,above mean
6684,34,blue-collar,single,secondary,-108,yes,no,no,982,below mean
6685,31,blue-collar,married,secondary,298,yes,no,no,1388,above mean
6686,41,admin.,divorced,secondary,-365,yes,no,no,725,below mean
6687,30,admin.,single,secondary,-1,yes,no,no,1089,above mean
6688,29,blue-collar,married,primary,1101,yes,yes,no,-3634,below zero
6689,38,technician,married,secondary,133,yes,no,no,1223,above mean
6690,33,blue-collar,single,secondary,855,no,no,no,855,below mean
6691,27,technician,single,secondary,2430,yes,no,no,3520,above mean
6692,49,management,divorced,tertiary,169,yes,no,no,1259,above mean
6693,24,blue-collar,married,primary,933,yes,no,no,2023,above mean
6694,27,blue-collar,single,secondary,2364,yes,no,no,3454,above mean
6695,31,admin.,married,secondary,728,yes,yes,no,-4007,below zero
6696,42,blue-collar,married,secondary,1468,yes,no,no,2558,above mean
6697,42,admin.,married,secondary,214,yes,no,no,1304,above mean
6698,22,blue-collar,married,secondary,391,yes,yes,no,-4344,below zero
6699,54,technician,married,secondary,1865,yes,no,no,2955,above mean
6700,28,blue-collar,single,unknown,448,yes,no,no,1538,above mean
6701,40,management,married,tertiary,-130,yes,no,no,960,below mean
6702,48,admin.,single,secondary,1150,yes,no,no,2240,above mean
6703,46,admin.,married,secondary,-363,yes,yes,no,-5098,below zero
6704,42,blue-collar,divorced,secondary,1820,yes,no,no,2910,above mean
6705,39,blue-collar,married,primary,2862,yes,no,no,3952,above mean
6706,29,management,married,tertiary,4050,yes,no,no,5140,above mean
6707,40,admin.,married,secondary,-279,yes,no,no,811,below mean
6708,35,blue-collar,married,secondary,1388,yes,no,no,2478,above mean
6709,38,technician,divorced,secondary,-478,yes,no,no,612,below mean
6710,33,self-employed,married,tertiary,-103,yes,no,no,987,below mean
6711,31,blue-collar,single,primary,-443,yes,no,no,647,below mean
6712,28,blue-collar,divorced,unknown,101,yes,no,no,1191,above mean
6713,30,technician,divorced,secondary,2262,yes,no,no,3352,above mean
6714,42,blue-collar,married,secondary,54,yes,no,no,1144,above mean
6715,28,blue-collar,single,secondary,0,yes,no,no,1090,above mean
6716,43,technician,married,secondary,50,no,no,no,50,below mean
6717,28,services,single,secondary,40,yes,no,no,1130,above mean
6718,29,services,married,secondary,308,yes,no,no,1398,above mean
6719,36,blue-collar,married,secondary,21,yes,no,no,1111,above mean
6720,25,blue-collar,single,secondary,1966,yes,no,no,3056,above mean
6721,28,blue-collar,single,secondary,1,no,no,no,1,below mean
6722,61,retired,divorced,secondary,1857,yes,no,no,2947,above mean
6723,32,admin.,single,secondary,-648,yes,no,no,442,below mean
6724,29,management,married,tertiary,168,yes,no,no,1258,above mean
6725,26,technician,married,secondary,876,yes,no,no,1966,above mean
6726,29,blue-collar,single,primary,80,yes,no,no,1170,above mean
6727,30,services,married,primary,-286,yes,no,no,804,below mean
6728,46,blue-collar,married,unknown,-619,yes,no,no,471,below mean
6729,53,blue-collar,single,primary,-137,yes,yes,no,-4872,below zero
6730,28,blue-collar,married,primary,115,yes,no,no,1205,above mean
6731,27,technician,married,secondary,58,yes,no,no,1148,above mean
6732,27,blue-collar,single,secondary,1401,yes,no,no,2491,above mean
6733,25,services,single,secondary,55,yes,yes,no,-4680,below zero
6734,38,technician,divorced,secondary,1333,yes,yes,no,-3402,below zero
6735,40,blue-collar,divorced,secondary,-90,yes,no,no,1000,below mean
6736,27,services,single,secondary,3791,yes,no,no,4881,above mean
6737,50,blue-collar,married,primary,490,yes,no,no,1580,above mean
6738,47,blue-collar,married,secondary,480,yes,no,no,1570,above mean
6739,60,blue-collar,married,primary,228,yes,no,no,1318,above mean
6740,45,blue-collar,married,unknown,-320,yes,no,no,770,below mean
6741,29,self-employed,single,secondary,3672,yes,yes,no,-1063,below zero
6742,32,unemployed,married,secondary,-160,yes,no,no,930,below mean
6743,25,blue-collar,single,secondary,207,yes,no,no,1297,above mean
6744,28,blue-collar,married,secondary,916,yes,no,no,2006,above mean
6745,24,student,single,unknown,3298,yes,no,no,4388,above mean
6746,34,services,married,secondary,1182,yes,no,no,2272,above mean
6747,50,blue-collar,married,primary,1203,yes,yes,no,-3532,below zero
6748,44,admin.,married,secondary,72,yes,yes,no,-4663,below zero
6749,29,blue-collar,married,secondary,1171,yes,no,no,2261,above mean
6750,29,admin.,married,secondary,36,yes,no,no,1126,above mean
6751,25,self-employed,single,secondary,1242,yes,no,yes,2332,above mean
6752,44,entrepreneur,married,secondary,-20,no,no,no,-20,below zero
6753,52,blue-collar,married,secondary,310,yes,no,no,1400,above mean
6754,47,technician,married,secondary,970,yes,no,no,2060,above mean
6755,35,technician,married,secondary,194,yes,no,no,1284,above mean
6756,28,blue-collar,single,secondary,6307,yes,no,no,7397,above mean
6757,32,management,married,tertiary,514,yes,no,no,1604,above mean
6758,26,admin.,single,tertiary,-164,yes,no,no,926,below mean
6759,57,management,married,primary,1566,no,no,no,1566,above mean
6760,53,services,divorced,secondary,-905,yes,no,no,185,below mean
6761,29,services,married,tertiary,6,yes,no,no,1096,above mean
6762,24,blue-collar,single,secondary,674,yes,yes,no,-4061,below zero
6763,26,blue-collar,single,primary,230,yes,no,no,1320,above mean
6764,29,management,married,tertiary,715,yes,no,no,1805,above mean
6765,42,technician,married,secondary,-1310,yes,yes,no,-6045,below zero
6766,36,technician,married,secondary,1731,yes,yes,no,-3004,below zero
6767,26,technician,single,secondary,150,yes,no,no,1240,above mean
6768,24,technician,single,secondary,288,yes,no,no,1378,above mean
6769,29,management,single,tertiary,-158,yes,no,no,932,below mean
6770,51,technician,single,secondary,511,yes,yes,no,-4224,below zero
6771,31,blue-collar,single,secondary,1686,yes,no,no,2776,above mean
6772,29,management,single,tertiary,5980,yes,no,no,7070,above mean
6773,28,management,married,secondary,292,yes,no,yes,1382,above mean
6774,23,services,single,secondary,665,yes,no,yes,1755,above mean
6775,26,blue-collar,single,secondary,396,yes,no,no,1486,above mean
6776,42,technician,married,secondary,570,yes,no,no,1660,above mean
6777,40,admin.,divorced,secondary,-541,yes,yes,no,-5276,below zero
6778,28,blue-collar,married,secondary,17,no,no,no,17,below mean
6779,27,student,single,secondary,16173,yes,no,no,17263,above mean
6780,25,admin.,married,secondary,894,yes,no,no,1984,above mean
6781,29,technician,single,secondary,-397,yes,no,no,693,below mean
6782,29,blue-collar,single,primary,231,yes,no,no,1321,above mean
6783,28,services,single,secondary,281,yes,no,no,1371,above mean
6784,29,management,single,tertiary,112,yes,yes,no,-4623,below zero
6785,24,services,single,secondary,53,yes,yes,no,-4682,below zero
6786,26,admin.,single,secondary,677,yes,no,no,1767,above mean
6787,32,admin.,single,secondary,294,yes,no,no,1384,above mean
6788,26,services,single,tertiary,1624,yes,yes,no,-3111,below zero
6789,31,technician,single,primary,449,yes,no,no,1539,above mean
6790,28,management,single,tertiary,1069,no,no,no,1069,above mean
6791,52,entrepreneur,married,primary,8298,yes,yes,no,3563,above mean
6792,27,technician,married,secondary,1577,yes,yes,no,-3158,below zero
6793,38,blue-collar,married,secondary,-579,yes,yes,no,-5314,below zero
6794,35,technician,single,tertiary,59,yes,no,no,1149,above mean
6795,38,technician,single,secondary,12,yes,no,no,1102,above mean
6796,46,blue-collar,divorced,secondary,1815,yes,no,no,2905,above mean
6797,32,management,married,tertiary,4307,yes,no,no,5397,above mean
6798,39,blue-collar,married,unknown,638,yes,yes,no,-4097,below zero
6799,29,admin.,married,secondary,-526,yes,no,no,564,below mean
6800,27,blue-collar,single,secondary,294,yes,yes,yes,-4441,below zero
6801,28,services,single,secondary,2954,yes,no,no,4044,above mean
6802,47,blue-collar,married,secondary,578,yes,no,no,1668,above mean
6803,27,technician,married,unknown,811,yes,no,no,1901,above mean
6804,33,blue-collar,married,secondary,7063,yes,no,no,8153,above mean
6805,30,management,single,tertiary,5288,yes,no,no,6378,above mean
6806,33,blue-collar,married,secondary,580,yes,no,no,1670,above mean
6807,40,management,married,tertiary,384,no,no,no,384,below mean
6808,38,technician,married,secondary,61,yes,no,no,1151,above mean
6809,32,admin.,single,secondary,642,yes,no,no,1732,above mean
6810,36,blue-collar,married,secondary,79,yes,no,no,1169,above mean
6811,30,services,married,secondary,586,yes,no,no,1676,above mean
6812,38,entrepreneur,married,secondary,61,yes,yes,no,-4674,below zero
6813,25,services,single,secondary,3217,yes,no,no,4307,above mean
6814,28,blue-collar,married,secondary,1020,yes,no,no,2110,above mean
6815,55,blue-collar,married,primary,-317,yes,no,no,773,below mean
6816,57,management,married,tertiary,-22,yes,no,no,1068,above mean
6817,31,blue-collar,divorced,primary,158,yes,no,no,1248,above mean
6818,31,services,married,secondary,-327,yes,no,no,763,below mean
6819,38,technician,single,tertiary,218,yes,yes,no,-4517,below zero
6820,28,technician,single,tertiary,183,yes,yes,no,-4552,below zero
6821,23,technician,single,tertiary,1129,yes,no,yes,2219,above mean
6822,45,blue-collar,married,secondary,554,yes,no,no,1644,above mean
6823,46,technician,married,secondary,57,no,no,yes,57,below mean
6824,40,management,married,secondary,-240,no,yes,no,-6065,below zero
6825,29,services,married,secondary,11417,yes,no,no,12507,above mean
6826,30,admin.,married,primary,-171,yes,no,no,919,below mean
6827,31,admin.,single,secondary,-449,yes,no,no,641,below mean
6828,56,retired,married,unknown,228,yes,no,no,1318,above mean
6829,39,unemployed,single,secondary,-53,yes,no,no,1037,above mean
6830,29,admin.,single,unknown,175,no,no,no,175,below mean
6831,44,technician,married,secondary,1196,yes,yes,no,-3539,below zero
6832,28,admin.,single,secondary,419,yes,no,no,1509,above mean
6833,26,management,single,tertiary,2692,no,no,no,2692,above mean
6834,41,blue-collar,single,unknown,2835,yes,no,no,3925,above mean
6835,31,services,single,secondary,-779,yes,no,no,311,below mean
6836,29,admin.,married,tertiary,26,yes,no,no,1116,above mean
6837,33,blue-collar,married,secondary,-112,yes,no,no,978,below mean
6838,23,student,single,unknown,854,yes,no,yes,1944,above mean
6839,50,admin.,married,secondary,3636,no,no,no,3636,above mean
6840,27,services,single,secondary,9636,yes,no,no,10726,above mean
6841,45,blue-collar,married,primary,446,yes,no,no,1536,above mean
6842,50,self-employed,divorced,tertiary,59,yes,no,no,1149,above mean
6843,41,blue-collar,single,secondary,1621,yes,no,no,2711,above mean
6844,44,management,married,tertiary,0,yes,no,no,1090,above mean
6845,56,retired,married,primary,-299,yes,no,no,791,below mean
6846,26,unemployed,married,primary,70,yes,no,no,1160,above mean
6847,34,admin.,single,secondary,7,no,no,no,7,below mean
6848,33,blue-collar,single,secondary,-366,yes,no,no,724,below mean
6849,30,blue-collar,married,primary,-518,yes,yes,no,-5253,below zero
6850,47,management,married,secondary,490,yes,no,no,1580,above mean
6851,26,admin.,married,secondary,714,yes,no,no,1804,above mean
6852,26,blue-collar,married,primary,3529,yes,no,no,4619,above mean
6853,51,technician,married,secondary,98,yes,no,no,1188,above mean
6854,57,retired,married,tertiary,0,yes,yes,yes,-4735,below zero
6855,33,blue-collar,married,secondary,529,yes,no,no,1619,above mean
6856,30,blue-collar,single,secondary,397,yes,no,no,1487,above mean
6857,40,unemployed,married,primary,557,yes,no,no,1647,above mean
6858,53,blue-collar,married,secondary,314,yes,no,no,1404,above mean
6859,27,services,single,secondary,1636,yes,no,no,2726,above mean
6860,57,blue-collar,married,primary,1502,yes,no,no,2592,above mean
6861,45,management,married,tertiary,-1655,yes,no,no,-565,below zero
6862,36,management,married,tertiary,428,no,no,no,428,below mean
6863,39,blue-collar,married,primary,7304,yes,no,no,8394,above mean
6864,28,technician,single,secondary,1536,yes,no,no,2626,above mean
6865,34,technician,married,secondary,1246,no,no,no,1246,above mean
6866,29,technician,married,secondary,344,yes,yes,no,-4391,below zero
6867,51,technician,married,secondary,271,yes,no,no,1361,above mean
6868,29,management,single,secondary,293,yes,no,no,1383,above mean
6869,32,admin.,single,secondary,562,yes,no,no,1652,above mean
6870,36,management,single,secondary,302,no,no,no,302,below mean
6871,50,technician,married,secondary,-568,yes,yes,no,-5303,below zero
6872,42,management,married,tertiary,479,yes,no,no,1569,above mean
6873,29,services,divorced,secondary,1336,yes,no,no,2426,above mean
6874,34,management,single,tertiary,1058,yes,no,yes,2148,above mean
6875,33,technician,divorced,tertiary,839,yes,no,no,1929,above mean
6876,29,technician,single,secondary,22008,yes,no,no,23098,above mean
6877,44,blue-collar,married,secondary,-73,yes,no,no,1017,below mean
6878,25,entrepreneur,single,primary,-65,yes,no,no,1025,below mean
6879,26,blue-collar,married,unknown,407,yes,no,no,1497,above mean
6880,53,management,married,tertiary,490,yes,no,no,1580,above mean
6881,45,blue-collar,married,secondary,156,yes,yes,no,-4579,below zero
6882,37,management,married,tertiary,655,no,no,no,655,below mean
6883,43,blue-collar,married,secondary,-504,yes,no,no,586,below mean
6884,38,self-employed,married,secondary,279,yes,no,no,1369,above mean
6885,31,admin.,married,unknown,-310,yes,no,no,780,below mean
6886,38,services,married,secondary,-314,yes,no,no,776,below mean
6887,32,services,single,tertiary,-233,yes,no,no,857,below mean
6888,24,blue-collar,single,secondary,327,yes,no,no,1417,above mean
6889,34,admin.,single,secondary,1103,yes,no,no,2193,above mean
6890,43,management,married,secondary,373,yes,no,no,1463,above mean
6891,40,technician,married,secondary,-312,yes,no,no,778,below mean
6892,55,retired,married,secondary,2193,yes,yes,no,-2542,below zero
6893,34,services,married,secondary,24,yes,no,no,1114,above mean
6894,35,blue-collar,divorced,secondary,105,yes,yes,no,-4630,below zero
6895,59,technician,married,secondary,0,yes,yes,no,-4735,below zero
6896,50,admin.,single,secondary,330,yes,no,no,1420,above mean
6897,55,blue-collar,married,secondary,284,yes,yes,no,-4451,below zero
6898,29,admin.,married,secondary,445,yes,no,no,1535,above mean
6899,32,services,married,secondary,172,yes,no,no,1262,above mean
6900,27,management,single,tertiary,1995,yes,no,no,3085,above mean
6901,36,management,married,tertiary,771,yes,no,no,1861,above mean
6902,33,admin.,married,secondary,393,yes,no,no,1483,above mean
6903,32,admin.,married,tertiary,-421,yes,yes,no,-5156,below zero
6904,48,management,married,secondary,99,yes,no,no,1189,above mean
6905,47,admin.,divorced,secondary,-480,no,no,no,-480,below zero
6906,36,management,married,secondary,10,no,yes,no,-5815,below zero
6907,29,management,married,tertiary,8089,yes,no,no,9179,above mean
6908,35,management,single,secondary,73,yes,no,no,1163,above mean
6909,48,blue-collar,married,primary,134,yes,no,no,1224,above mean
6910,29,admin.,married,secondary,5605,yes,no,no,6695,above mean
6911,28,services,single,secondary,3331,yes,no,no,4421,above mean
6912,27,self-employed,single,tertiary,5214,yes,no,no,6304,above mean
6913,51,services,divorced,secondary,-245,yes,yes,no,-4980,below zero
6914,40,technician,single,tertiary,-89,yes,no,no,1001,below mean
6915,60,retired,married,primary,170,yes,no,no,1260,above mean
6916,28,technician,single,secondary,1417,yes,no,no,2507,above mean
6917,42,management,single,tertiary,4264,yes,no,no,5354,above mean
6918,28,student,single,secondary,949,yes,no,yes,2039,above mean
6919,27,admin.,single,secondary,242,yes,yes,no,-4493,below zero
6920,33,admin.,single,primary,-258,yes,no,no,832,below mean
6921,34,entrepreneur,married,tertiary,105,yes,no,no,1195,above mean
6922,29,blue-collar,married,primary,1280,yes,no,no,2370,above mean
6923,34,blue-collar,married,secondary,504,yes,no,no,1594,above mean
6924,31,management,single,tertiary,-160,yes,no,no,930,below mean
6925,31,admin.,single,secondary,1306,yes,no,no,2396,above mean
6926,36,blue-collar,single,secondary,3254,yes,no,no,4344,above mean
6927,26,blue-collar,single,secondary,419,yes,no,no,1509,above mean
6928,34,blue-collar,married,secondary,-58,yes,yes,no,-4793,below zero
6929,30,entrepreneur,married,secondary,2926,yes,no,no,4016,above mean
6930,33,management,single,tertiary,-61,no,no,no,-61,below zero
6931,39,admin.,divorced,secondary,22,no,no,no,22,below mean
6932,45,services,married,secondary,-36,yes,yes,no,-4771,below zero
6933,35,management,single,unknown,137,no,no,no,137,below mean
6934,25,blue-collar,divorced,secondary,2428,yes,no,no,3518,above mean
6935,57,admin.,married,secondary,100,no,no,no,100,below mean
6936,54,retired,married,secondary,24,yes,no,no,1114,above mean
6937,30,student,single,tertiary,2030,yes,no,no,3120,above mean
6938,26,student,single,tertiary,0,yes,no,no,1090,above mean
6939,33,technician,single,secondary,-409,yes,no,no,681,below mean
6940,26,technician,single,secondary,855,yes,no,no,1945,above mean
6941,53,admin.,married,secondary,614,yes,no,no,1704,above mean
6942,35,admin.,single,secondary,3,yes,no,no,1093,above mean
6943,27,technician,single,secondary,648,yes,no,no,1738,above mean
6944,35,self-employed,single,tertiary,935,yes,no,no,2025,above mean
6945,39,services,married,secondary,695,yes,no,no,1785,above mean
6946,32,admin.,single,secondary,73,yes,no,no,1163,above mean
6947,31,blue-collar,married,secondary,1039,yes,no,no,2129,above mean
6948,34,management,married,tertiary,-304,yes,no,no,786,below mean
6949,38,blue-collar,single,unknown,241,yes,no,no,1331,above mean
6950,39,management,divorced,tertiary,133,yes,no,no,1223,above mean
6951,46,admin.,married,secondary,1328,yes,no,no,2418,above mean
6952,29,blue-collar,single,secondary,0,yes,no,no,1090,above mean
6953,47,services,divorced,secondary,-288,yes,no,no,802,below mean
6954,53,management,married,tertiary,3443,yes,no,no,4533,above mean
6955,29,management,divorced,tertiary,415,yes,yes,no,-4320,below zero
6956,58,retired,married,secondary,255,no,no,no,255,below mean
6957,34,technician,married,secondary,6,yes,no,no,1096,above mean
6958,26,blue-collar,married,secondary,-284,yes,no,no,806,below mean
6959,31,management,single,tertiary,305,yes,no,no,1395,above mean
6960,55,blue-collar,married,primary,81,yes,no,no,1171,above mean
6961,30,blue-collar,married,primary,2607,yes,no,no,3697,above mean
6962,29,blue-collar,married,secondary,201,yes,no,no,1291,above mean
6963,44,technician,married,secondary,265,yes,no,no,1355,above mean
6964,33,blue-collar,married,secondary,625,yes,no,no,1715,above mean
6965,42,blue-collar,married,secondary,1134,yes,no,no,2224,above mean
6966,57,unknown,married,unknown,327,yes,no,no,1417,above mean
6967,38,technician,married,tertiary,-1350,yes,yes,no,-6085,below zero
6968,22,blue-collar,single,primary,3198,yes,no,no,4288,above mean
6969,36,blue-collar,single,primary,2176,yes,no,no,3266,above mean
6970,39,blue-collar,married,primary,-310,yes,yes,no,-5045,below zero
6971,45,services,married,secondary,692,yes,no,no,1782,above mean
6972,35,blue-collar,married,primary,4366,yes,no,no,5456,above mean
6973,22,services,single,primary,35,yes,no,no,1125,above mean
6974,56,management,divorced,tertiary,442,no,no,no,442,below mean
6975,31,management,single,tertiary,44,no,no,no,44,below mean
6976,51,technician,divorced,secondary,0,yes,no,no,1090,above mean
6977,37,services,single,tertiary,223,yes,no,no,1313,above mean
6978,32,technician,single,tertiary,92,yes,no,no,1182,above mean
6979,39,services,married,secondary,-971,yes,yes,no,-5706,below zero
6980,32,technician,single,secondary,1307,yes,no,no,2397,above mean
6981,30,services,married,secondary,179,yes,no,no,1269,above mean
6982,31,blue-collar,married,secondary,1117,yes,no,no,2207,above mean
6983,51,management,single,unknown,-461,yes,no,no,629,below mean
6984,27,services,single,tertiary,5883,yes,no,no,6973,above mean
6985,33,blue-collar,married,primary,-342,yes,no,no,748,below mean
6986,24,services,single,tertiary,1385,yes,no,no,2475,above mean
6987,52,blue-collar,married,primary,-211,yes,yes,no,-4946,below zero
6988,39,blue-collar,married,secondary,2612,yes,no,no,3702,above mean
6989,31,blue-collar,single,primary,124,yes,no,no,1214,above mean
6990,33,admin.,married,secondary,-675,yes,no,no,415,below mean
6991,27,management,single,tertiary,3104,yes,no,no,4194,above mean
6992,44,technician,married,secondary,398,yes,no,no,1488,above mean
6993,56,technician,divorced,secondary,77,yes,yes,no,-4658,below zero
6994,50,technician,divorced,unknown,2706,yes,no,no,3796,above mean
6995,54,management,divorced,tertiary,192,yes,no,no,1282,above mean
6996,33,admin.,married,tertiary,957,yes,no,no,2047,above mean
6997,51,blue-collar,married,primary,593,yes,no,no,1683,above mean
6998,32,management,single,tertiary,1493,yes,no,no,2583,above mean
6999,32,blue-collar,married,secondary,0,yes,no,no,1090,above mean
7000,35,blue-collar,married,primary,51,yes,no,no,1141,above mean
7001,47,technician,married,secondary,-938,yes,no,no,152,below mean
7002,49,blue-collar,married,secondary,457,yes,yes,no,-4278,below zero
7003,54,technician,married,tertiary,337,yes,no,no,1427,above mean
7004,31,admin.,single,tertiary,1531,yes,no,no,2621,above mean
7005,26,services,married,secondary,33,yes,no,no,1123,above mean
7006,42,technician,divorced,secondary,0,yes,no,no,1090,above mean
7007,45,technician,single,tertiary,5336,no,no,no,5336,above mean
7008,36,technician,married,secondary,947,yes,no,no,2037,above mean
7009,40,admin.,married,secondary,2,no,no,no,2,below mean
7010,45,admin.,married,secondary,935,yes,yes,no,-3800,below zero
7011,27,management,single,tertiary,731,yes,no,no,1821,above mean
7012,51,blue-collar,married,primary,-1,no,no,no,-1,below zero
7013,30,technician,single,tertiary,419,yes,yes,no,-4316,below zero
7014,28,admin.,married,secondary,22171,yes,no,no,23261,above mean
7015,32,self-employed,married,secondary,-33,yes,no,no,1057,above mean
7016,57,admin.,divorced,secondary,-140,yes,no,no,950,below mean
7017,31,admin.,married,secondary,439,no,no,no,439,below mean
7018,47,technician,married,unknown,-598,yes,no,no,492,below mean
7019,34,blue-collar,married,secondary,261,yes,no,no,1351,above mean
7020,50,blue-collar,married,secondary,-160,yes,no,no,930,below mean
7021,33,admin.,single,secondary,322,yes,no,no,1412,above mean
7022,25,blue-collar,married,secondary,1025,yes,no,no,2115,above mean
7023,39,blue-collar,married,secondary,-931,yes,no,no,159,below mean
7024,37,admin.,married,secondary,-107,yes,no,no,983,below mean
7025,40,management,married,tertiary,481,yes,no,no,1571,above mean
7026,43,admin.,married,primary,-516,yes,no,no,574,below mean
7027,32,self-employed,married,secondary,610,yes,no,no,1700,above mean
7028,25,blue-collar,single,secondary,579,yes,no,no,1669,above mean
7029,34,blue-collar,married,secondary,225,yes,no,no,1315,above mean
7030,30,blue-collar,married,secondary,1780,yes,no,no,2870,above mean
7031,41,services,married,secondary,803,yes,no,no,1893,above mean
7032,36,blue-collar,married,secondary,-347,yes,yes,no,-5082,below zero
7033,28,admin.,single,secondary,1238,yes,no,no,2328,above mean
7034,29,blue-collar,single,secondary,992,yes,yes,no,-3743,below zero
7035,30,blue-collar,married,primary,0,yes,yes,no,-4735,below zero
7036,22,student,single,secondary,489,no,no,no,489,below mean
7037,28,blue-collar,married,secondary,-717,yes,no,no,373,below mean
7038,27,blue-collar,single,primary,3955,yes,no,no,5045,above mean
7039,31,blue-collar,single,unknown,667,yes,no,no,1757,above mean
7040,42,unemployed,divorced,secondary,325,yes,no,no,1415,above mean
7041,32,technician,married,tertiary,3538,yes,no,no,4628,above mean
7042,25,blue-collar,married,secondary,192,yes,no,no,1282,above mean
7043,55,services,divorced,secondary,2166,yes,no,no,3256,above mean
7044,33,services,married,secondary,-384,yes,no,no,706,below mean
7045,45,services,single,secondary,1377,yes,no,no,2467,above mean
7046,43,blue-collar,married,primary,50,no,no,no,50,below mean
7047,32,blue-collar,married,secondary,-354,yes,yes,no,-5089,below zero
7048,51,entrepreneur,married,unknown,606,yes,no,yes,1696,above mean
7049,35,blue-collar,married,secondary,120,yes,no,no,1210,above mean
7050,44,technician,divorced,secondary,-357,yes,yes,no,-5092,below zero
7051,44,blue-collar,married,primary,194,yes,no,no,1284,above mean
7052,40,technician,married,secondary,-378,yes,no,no,712,below mean
7053,24,self-employed,single,tertiary,931,yes,no,no,2021,above mean
7054,32,technician,single,secondary,1210,yes,yes,no,-3525,below zero
7055,51,technician,divorced,secondary,329,yes,no,no,1419,above mean
